,index,StringID,Type,x,y,demand,ReadyTime,DueTime,ServiceTime,Q,C,r,g,v
0,0,D0,d,40.0,50.0,0.0,0.0,1236.0,0.0,79.69,200.0,1.0,3.39,1.0
1,1,S0,f,40.0,50.0,0.0,0.0,1236.0,0.0,,,,,
2,2,S1,f,73.0,52.0,0.0,0.0,1236.0,0.0,,,,,
3,3,S2,f,90.0,55.0,0.0,0.0,1236.0,0.0,,,,,
4,4,S3,f,55.0,79.0,0.0,0.0,1236.0,0.0,,,,,
5,5,S4,f,69.0,89.0,0.0,0.0,1236.0,0.0,,,,,
6,6,S5,f,32.0,80.0,0.0,0.0,1236.0,0.0,,,,,
7,7,S6,f,39.0,96.0,0.0,0.0,1236.0,0.0,,,,,
8,8,S7,f,23.0,80.0,0.0,0.0,1236.0,0.0,,,,,
9,9,S8,f,4.0,83.0,0.0,0.0,1236.0,0.0,,,,,
10,10,S9,f,18.0,58.0,0.0,0.0,1236.0,0.0,,,,,
11,11,S10,f,1.0,56.0,0.0,0.0,1236.0,0.0,,,,,
12,12,S11,f,13.0,31.0,0.0,0.0,1236.0,0.0,,,,,
13,13,S12,f,-5.0,38.0,0.0,0.0,1236.0,0.0,,,,,
14,14,S13,f,26.0,37.0,0.0,0.0,1236.0,0.0,,,,,
15,15,S14,f,28.0,13.0,0.0,0.0,1236.0,0.0,,,,,
16,16,S15,f,39.0,31.0,0.0,0.0,1236.0,0.0,,,,,
17,17,S16,f,48.0,11.0,0.0,0.0,1236.0,0.0,,,,,
18,18,S17,f,59.0,17.0,0.0,0.0,1236.0,0.0,,,,,
19,19,S18,f,73.0,23.0,0.0,0.0,1236.0,0.0,,,,,
20,20,S19,f,74.0,32.0,0.0,0.0,1236.0,0.0,,,,,
21,21,S20,f,90.0,44.0,0.0,0.0,1236.0,0.0,,,,,
22,22,C88,0,65.0,60.0,30.0,789.0,943.0,90.0,,,,,
23,23,C49,0,28.0,35.0,10.0,943.0,1126.0,90.0,,,,,
24,24,C37,1,2.0,40.0,20.0,560.0,628.0,90.0,,,,,
25,25,C8,0,38.0,68.0,20.0,893.0,1127.0,90.0,,,,,
26,26,C16,0,20.0,85.0,40.0,314.0,460.0,90.0,,,,,
27,27,C99,1,55.0,80.0,10.0,781.0,951.0,90.0,,,,,
28,28,C89,0,63.0,58.0,10.0,877.0,1041.0,90.0,,,,,
29,29,C34,0,8.0,45.0,20.0,186.0,252.0,90.0,,,,,
30,30,C35,1,5.0,35.0,10.0,564.0,816.0,90.0,,,,,
31,31,C47,0,30.0,35.0,10.0,664.0,788.0,90.0,,,,,
32,32,C71,0,95.0,35.0,20.0,421.0,603.0,90.0,,,,,
33,33,C31,1,10.0,35.0,20.0,451.0,533.0,90.0,,,,,
34,34,C42,0,33.0,32.0,20.0,225.0,303.0,90.0,,,,,
35,35,C27,0,23.0,52.0,10.0,263.0,311.0,90.0,,,,,
36,36,C10,1,35.0,66.0,10.0,703.0,921.0,90.0,,,,,
37,37,C40,0,35.0,30.0,10.0,106.0,236.0,90.0,,,,,
38,38,C98,0,58.0,75.0,20.0,103.0,325.0,90.0,,,,,
39,39,C73,1,92.0,30.0,10.0,187.0,477.0,90.0,,,,,
40,40,C53,0,44.0,5.0,20.0,327.0,621.0,90.0,,,,,
41,41,C50,0,26.0,32.0,10.0,903.0,995.0,90.0,,,,,
42,42,C30,1,20.0,55.0,10.0,334.0,428.0,90.0,,,,,
43,43,C58,0,38.0,5.0,30.0,188.0,388.0,90.0,,,,,
44,44,C39,0,0.0,45.0,20.0,302.0,512.0,90.0,,,,,
45,45,C90,1,60.0,55.0,10.0,21.0,210.0,90.0,,,,,
46,46,C85,0,68.0,60.0,30.0,635.0,911.0,90.0,,,,,
