,index,StringID,Type,x,y,demand,ReadyTime,DueTime,ServiceTime,Q,C,r,g,v
0,0,D0,d,40.0,50.0,0.0,0.0,960.0,0.0,211.04,1000.0,1.0,0.14,1.0
1,1,S0,f,40.0,50.0,0.0,0.0,960.0,0.0,,,,,
2,2,S1,f,73.0,52.0,0.0,0.0,960.0,0.0,,,,,
3,3,S2,f,90.0,55.0,0.0,0.0,960.0,0.0,,,,,
4,4,S3,f,55.0,79.0,0.0,0.0,960.0,0.0,,,,,
5,5,S4,f,69.0,89.0,0.0,0.0,960.0,0.0,,,,,
6,6,S5,f,32.0,80.0,0.0,0.0,960.0,0.0,,,,,
7,7,S6,f,39.0,96.0,0.0,0.0,960.0,0.0,,,,,
8,8,S7,f,23.0,80.0,0.0,0.0,960.0,0.0,,,,,
9,9,S8,f,4.0,83.0,0.0,0.0,960.0,0.0,,,,,
10,10,S9,f,18.0,58.0,0.0,0.0,960.0,0.0,,,,,
11,11,S10,f,1.0,56.0,0.0,0.0,960.0,0.0,,,,,
12,12,S11,f,13.0,31.0,0.0,0.0,960.0,0.0,,,,,
13,13,S12,f,-5.0,38.0,0.0,0.0,960.0,0.0,,,,,
14,14,S13,f,26.0,37.0,0.0,0.0,960.0,0.0,,,,,
15,15,S14,f,28.0,13.0,0.0,0.0,960.0,0.0,,,,,
16,16,S15,f,39.0,31.0,0.0,0.0,960.0,0.0,,,,,
17,17,S16,f,48.0,11.0,0.0,0.0,960.0,0.0,,,,,
18,18,S17,f,59.0,17.0,0.0,0.0,960.0,0.0,,,,,
19,19,S18,f,73.0,23.0,0.0,0.0,960.0,0.0,,,,,
20,20,S19,f,74.0,32.0,0.0,0.0,960.0,0.0,,,,,
21,21,S20,f,90.0,44.0,0.0,0.0,960.0,0.0,,,,,
22,22,C5,0,20.0,85.0,20.0,789.0,909.0,10.0,,,,,
23,23,C84,0,57.0,29.0,18.0,802.0,922.0,10.0,,,,,
24,24,C89,0,67.0,5.0,25.0,777.0,897.0,10.0,,,,,
25,25,C20,1,42.0,15.0,10.0,208.0,328.0,10.0,,,,,
26,26,C49,0,42.0,12.0,10.0,208.0,328.0,10.0,,,,,
27,27,C12,0,8.0,45.0,20.0,797.0,917.0,10.0,,,,,
28,28,C8,0,15.0,80.0,10.0,440.0,560.0,10.0,,,,,
29,29,C100,1,31.0,67.0,3.0,468.0,588.0,10.0,,,,,
30,30,C14,0,5.0,45.0,10.0,198.0,318.0,10.0,,,,,
31,31,C35,0,67.0,85.0,20.0,647.0,767.0,10.0,,,,,
32,32,C1,0,25.0,85.0,20.0,300.0,420.0,10.0,,,,,
33,33,C74,1,20.0,20.0,8.0,793.0,913.0,10.0,,,,,
34,34,C36,0,65.0,85.0,40.0,517.0,637.0,10.0,,,,,
35,35,C24,0,38.0,15.0,10.0,161.0,281.0,10.0,,,,,
36,36,C30,0,88.0,30.0,10.0,416.0,536.0,10.0,,,,,
37,37,C42,1,55.0,80.0,10.0,520.0,640.0,10.0,,,,,
38,38,C67,0,64.0,42.0,9.0,26.0,146.0,10.0,,,,,
39,39,C32,0,87.0,30.0,10.0,129.0,249.0,10.0,,,,,
40,40,C17,0,0.0,45.0,20.0,176.0,296.0,10.0,,,,,
41,41,C52,1,25.0,30.0,3.0,553.0,673.0,10.0,,,,,
42,42,C57,0,30.0,25.0,23.0,226.0,346.0,10.0,,,,,
43,43,C80,0,47.0,47.0,13.0,349.0,469.0,10.0,,,,,
44,44,C38,0,62.0,80.0,30.0,105.0,225.0,10.0,,,,,
45,45,C51,1,55.0,20.0,19.0,482.0,602.0,10.0,,,,,
46,46,C2,0,22.0,75.0,30.0,63.0,183.0,10.0,,,,,
