,index,StringID,Type,x,y,demand,ReadyTime,DueTime,ServiceTime,Q,C,r,g,v
0,0,D0,d,35.0,35.0,0.0,0.0,1000.0,0.0,198.88,1000.0,1.0,0.15,1.0
1,1,S0,f,35.0,35.0,0.0,0.0,1000.0,0.0,,,,,
2,2,S1,f,61.0,37.0,0.0,0.0,1000.0,0.0,,,,,
3,3,S2,f,74.0,39.0,0.0,0.0,1000.0,0.0,,,,,
4,4,S3,f,47.0,57.0,0.0,0.0,1000.0,0.0,,,,,
5,5,S4,f,57.0,65.0,0.0,0.0,1000.0,0.0,,,,,
6,6,S5,f,29.0,59.0,0.0,0.0,1000.0,0.0,,,,,
7,7,S6,f,34.0,71.0,0.0,0.0,1000.0,0.0,,,,,
8,8,S7,f,22.0,58.0,0.0,0.0,1000.0,0.0,,,,,
9,9,S8,f,7.0,61.0,0.0,0.0,1000.0,0.0,,,,,
10,10,S9,f,18.0,41.0,0.0,0.0,1000.0,0.0,,,,,
11,11,S10,f,5.0,39.0,0.0,0.0,1000.0,0.0,,,,,
12,12,S11,f,14.0,20.0,0.0,0.0,1000.0,0.0,,,,,
13,13,S12,f,0.0,26.0,0.0,0.0,1000.0,0.0,,,,,
14,14,S13,f,24.0,25.0,0.0,0.0,1000.0,0.0,,,,,
15,15,S14,f,26.0,6.0,0.0,0.0,1000.0,0.0,,,,,
16,16,S15,f,34.0,20.0,0.0,0.0,1000.0,0.0,,,,,
17,17,S16,f,41.0,5.0,0.0,0.0,1000.0,0.0,,,,,
18,18,S17,f,50.0,9.0,0.0,0.0,1000.0,0.0,,,,,
19,19,S18,f,61.0,14.0,0.0,0.0,1000.0,0.0,,,,,
20,20,S19,f,62.0,21.0,0.0,0.0,1000.0,0.0,,,,,
21,21,S20,f,74.0,30.0,0.0,0.0,1000.0,0.0,,,,,
22,22,C30,0,40.0,60.0,21.0,454.0,694.0,10.0,,,,,
23,23,C1,0,41.0,49.0,10.0,16.0,256.0,10.0,,,,,
24,24,C79,0,57.0,48.0,23.0,26.0,266.0,10.0,,,,,
25,25,C15,1,30.0,5.0,8.0,719.0,959.0,10.0,,,,,
26,26,C80,0,56.0,37.0,6.0,22.0,262.0,10.0,,,,,
27,27,C56,0,53.0,12.0,6.0,720.0,960.0,10.0,,,,,
28,28,C53,0,37.0,31.0,14.0,332.0,572.0,10.0,,,,,
29,29,C87,1,28.0,18.0,26.0,429.0,669.0,10.0,,,,,
30,30,C84,0,11.0,31.0,7.0,261.0,501.0,10.0,,,,,
31,31,C81,0,55.0,54.0,26.0,28.0,268.0,10.0,,,,,
32,32,C51,0,49.0,58.0,10.0,721.0,961.0,10.0,,,,,
33,33,C99,1,20.0,26.0,9.0,27.0,267.0,10.0,,,,,
34,34,C96,0,22.0,27.0,11.0,734.0,974.0,10.0,,,,,
35,35,C37,0,20.0,20.0,8.0,469.0,709.0,10.0,,,,,
36,36,C21,0,45.0,20.0,11.0,20.0,260.0,10.0,,,,,
37,37,C100,1,18.0,18.0,17.0,25.0,265.0,10.0,,,,,
38,38,C31,0,31.0,52.0,27.0,580.0,820.0,10.0,,,,,
39,39,C16,0,10.0,20.0,19.0,476.0,716.0,10.0,,,,,
40,40,C3,0,55.0,45.0,13.0,721.0,961.0,10.0,,,,,
41,41,C5,1,15.0,30.0,26.0,21.0,261.0,10.0,,,,,
42,42,C71,0,57.0,68.0,15.0,633.0,873.0,10.0,,,,,
43,43,C6,0,25.0,30.0,3.0,512.0,752.0,10.0,,,,,
44,44,C9,0,55.0,60.0,16.0,509.0,749.0,10.0,,,,,
45,45,C29,1,64.0,42.0,9.0,720.0,960.0,10.0,,,,,
46,46,C95,0,25.0,24.0,20.0,15.0,255.0,10.0,,,,,
47,47,C97,0,25.0,21.0,12.0,481.0,721.0,10.0,,,,,
48,48,C46,0,2.0,48.0,1.0,36.0,276.0,10.0,,,,,
49,49,C94,1,26.0,27.0,27.0,468.0,708.0,10.0,,,,,
50,50,C22,0,45.0,10.0,18.0,705.0,945.0,10.0,,,,,
51,51,C68,0,56.0,39.0,36.0,272.0,512.0,10.0,,,,,
52,52,C38,0,5.0,5.0,16.0,540.0,780.0,10.0,,,,,
53,53,C70,1,37.0,56.0,5.0,22.0,262.0,10.0,,,,,
54,54,C63,0,27.0,69.0,10.0,715.0,955.0,10.0,,,,,
55,55,C72,0,47.0,16.0,25.0,58.0,298.0,10.0,,,,,
