,index,StringID,Type,x,y,demand,ReadyTime,DueTime,ServiceTime,Q,C,r,g,v
0,0,D0,d,40.0,50.0,0.0,0.0,1236.0,0.0,79.69,200.0,1.0,3.39,1.0
1,1,S0,f,40.0,50.0,0.0,0.0,1236.0,0.0,,,,,
2,2,S1,f,73.0,52.0,0.0,0.0,1236.0,0.0,,,,,
3,3,S2,f,90.0,55.0,0.0,0.0,1236.0,0.0,,,,,
4,4,S3,f,55.0,79.0,0.0,0.0,1236.0,0.0,,,,,
5,5,S4,f,69.0,89.0,0.0,0.0,1236.0,0.0,,,,,
6,6,S5,f,32.0,80.0,0.0,0.0,1236.0,0.0,,,,,
7,7,S6,f,39.0,96.0,0.0,0.0,1236.0,0.0,,,,,
8,8,S7,f,23.0,80.0,0.0,0.0,1236.0,0.0,,,,,
9,9,S8,f,4.0,83.0,0.0,0.0,1236.0,0.0,,,,,
10,10,S9,f,18.0,58.0,0.0,0.0,1236.0,0.0,,,,,
11,11,S10,f,1.0,56.0,0.0,0.0,1236.0,0.0,,,,,
12,12,S11,f,13.0,31.0,0.0,0.0,1236.0,0.0,,,,,
13,13,S12,f,-5.0,38.0,0.0,0.0,1236.0,0.0,,,,,
14,14,S13,f,26.0,37.0,0.0,0.0,1236.0,0.0,,,,,
15,15,S14,f,28.0,13.0,0.0,0.0,1236.0,0.0,,,,,
16,16,S15,f,39.0,31.0,0.0,0.0,1236.0,0.0,,,,,
17,17,S16,f,48.0,11.0,0.0,0.0,1236.0,0.0,,,,,
18,18,S17,f,59.0,17.0,0.0,0.0,1236.0,0.0,,,,,
19,19,S18,f,73.0,23.0,0.0,0.0,1236.0,0.0,,,,,
20,20,S19,f,74.0,32.0,0.0,0.0,1236.0,0.0,,,,,
21,21,S20,f,90.0,44.0,0.0,0.0,1236.0,0.0,,,,,
22,22,C92,0,67.0,85.0,20.0,459.0,519.0,90.0,,,,,
23,23,C30,0,20.0,55.0,10.0,0.0,1125.0,90.0,,,,,
24,24,C76,1,90.0,35.0,10.0,575.0,639.0,90.0,,,,,
25,25,C19,0,15.0,80.0,10.0,455.0,513.0,90.0,,,,,
26,26,C78,0,88.0,35.0,20.0,0.0,1095.0,90.0,,,,,
27,27,C72,1,53.0,30.0,10.0,904.0,954.0,90.0,,,,,
28,28,C25,0,25.0,52.0,40.0,158.0,232.0,90.0,,,,,
29,29,C43,0,33.0,35.0,10.0,789.0,849.0,90.0,,,,,
30,30,C33,1,8.0,40.0,40.0,355.0,437.0,90.0,,,,,
31,31,C50,0,26.0,32.0,10.0,0.0,1123.0,90.0,,,,,
32,32,C95,0,62.0,80.0,30.0,0.0,1108.0,90.0,,,,,
33,33,C18,1,15.0,75.0,20.0,0.0,1110.0,90.0,,,,,
34,34,C5,0,42.0,65.0,10.0,950.0,1026.0,90.0,,,,,
35,35,C27,0,23.0,52.0,10.0,263.0,311.0,90.0,,,,,
36,36,C24,1,25.0,50.0,10.0,0.0,1131.0,90.0,,,,,
37,37,C94,0,65.0,82.0,10.0,0.0,1105.0,90.0,,,,,
38,38,C12,0,25.0,85.0,20.0,176.0,228.0,90.0,,,,,
39,39,C69,1,45.0,35.0,10.0,0.0,1130.0,90.0,,,,,
40,40,C15,0,20.0,80.0,40.0,0.0,1109.0,90.0,,,,,
41,41,C14,0,22.0,85.0,10.0,0.0,1106.0,90.0,,,,,
42,42,C66,1,47.0,35.0,10.0,1068.0,1129.0,90.0,,,,,
43,43,C60,0,35.0,5.0,20.0,167.0,223.0,90.0,,,,,
44,44,C49,0,28.0,35.0,10.0,1011.0,1073.0,90.0,,,,,
45,45,C9,1,38.0,70.0,10.0,958.0,1040.0,90.0,,,,,
46,46,C31,0,10.0,35.0,20.0,0.0,1112.0,90.0,,,,,
47,47,C84,0,70.0,58.0,20.0,0.0,1114.0,90.0,,,,,
48,48,C8,1,38.0,68.0,20.0,1057.0,1125.0,90.0,,,,,
49,49,C48,0,28.0,30.0,10.0,0.0,1122.0,90.0,,,,,
50,50,C73,0,92.0,30.0,10.0,287.0,361.0,90.0,,,,,
51,51,C55,1,42.0,15.0,10.0,905.0,963.0,90.0,,,,,
52,52,C88,0,65.0,60.0,30.0,0.0,1119.0,90.0,,,,,
53,53,C3,0,42.0,66.0,10.0,0.0,1129.0,90.0,,,,,
54,54,C47,1,30.0,35.0,10.0,698.0,754.0,90.0,,,,,
55,55,C57,0,40.0,15.0,40.0,989.0,1063.0,90.0,,,,,
56,56,C4,0,42.0,68.0,10.0,584.0,656.0,90.0,,,,,
57,57,C62,1,50.0,35.0,20.0,0.0,1127.0,90.0,,,,,
58,58,C22,0,28.0,52.0,20.0,0.0,1133.0,90.0,,,,,
59,59,C42,0,33.0,32.0,20.0,0.0,1126.0,90.0,,,,,
60,60,C23,1,28.0,55.0,10.0,13.0,70.0,90.0,,,,,
61,61,C99,0,55.0,80.0,10.0,836.0,896.0,90.0,,,,,
62,62,C100,0,55.0,85.0,20.0,744.0,798.0,90.0,,,,,
63,63,C41,1,35.0,32.0,10.0,0.0,1127.0,90.0,,,,,
64,64,C51,0,25.0,30.0,10.0,0.0,1121.0,90.0,,,,,
65,65,C54,0,42.0,10.0,40.0,810.0,868.0,90.0,,,,,
66,66,C67,1,47.0,40.0,10.0,0.0,1133.0,90.0,,,,,
67,67,C61,0,50.0,30.0,10.0,980.0,1064.0,90.0,,,,,
68,68,C7,0,40.0,66.0,20.0,0.0,1130.0,90.0,,,,,
69,69,C86,1,66.0,55.0,10.0,0.0,1119.0,90.0,,,,,
70,70,C53,0,44.0,5.0,20.0,0.0,1100.0,90.0,,,,,
71,71,C77,0,88.0,30.0,10.0,534.0,600.0,90.0,,,,,
