ID,Type,x,y,demand,ReadyTime,DueTime,ServiceTime,Q,C,r,g,v
D0,D,35.0,35.0,0.0,0.0,1000.0,0.0,187.9,1000.0,1.0,0.16,1.0
S0,C,35.0,35.0,0.0,0.0,1000.0,0.0,,,,,
S1,C,61.0,37.0,0.0,0.0,1000.0,0.0,,,,,
S2,C,74.0,39.0,0.0,0.0,1000.0,0.0,,,,,
S3,C,47.0,57.0,0.0,0.0,1000.0,0.0,,,,,
S4,C,57.0,65.0,0.0,0.0,1000.0,0.0,,,,,
S5,C,29.0,59.0,0.0,0.0,1000.0,0.0,,,,,
S6,C,34.0,71.0,0.0,0.0,1000.0,0.0,,,,,
S7,C,22.0,58.0,0.0,0.0,1000.0,0.0,,,,,
S8,C,7.0,61.0,0.0,0.0,1000.0,0.0,,,,,
S9,C,18.0,41.0,0.0,0.0,1000.0,0.0,,,,,
S10,C,5.0,39.0,0.0,0.0,1000.0,0.0,,,,,
S11,C,14.0,20.0,0.0,0.0,1000.0,0.0,,,,,
S12,C,0.0,26.0,0.0,0.0,1000.0,0.0,,,,,
S13,C,24.0,25.0,0.0,0.0,1000.0,0.0,,,,,
S14,C,26.0,6.0,0.0,0.0,1000.0,0.0,,,,,
S15,C,34.0,20.0,0.0,0.0,1000.0,0.0,,,,,
S16,C,41.0,5.0,0.0,0.0,1000.0,0.0,,,,,
S17,C,50.0,9.0,0.0,0.0,1000.0,0.0,,,,,
S18,C,61.0,14.0,0.0,0.0,1000.0,0.0,,,,,
S19,C,62.0,21.0,0.0,0.0,1000.0,0.0,,,,,
S20,C,74.0,30.0,0.0,0.0,1000.0,0.0,,,,,
C1,L,41.0,49.0,10.0,16.0,102.0,10.0,,,,,
C2,L,35.0,17.0,7.0,18.0,166.0,10.0,,,,,
C3,L,55.0,45.0,13.0,0.0,967.0,10.0,,,,,
C4,B,55.0,20.0,-19.0,0.0,965.0,10.0,,,,,
C5,L,15.0,30.0,26.0,21.0,182.0,10.0,,,,,
C6,L,25.0,30.0,3.0,0.0,978.0,10.0,,,,,
C7,L,20.0,50.0,5.0,32.0,110.0,10.0,,,,,
C8,B,10.0,43.0,-9.0,0.0,963.0,10.0,,,,,
C9,L,55.0,60.0,16.0,558.0,700.0,10.0,,,,,
C10,L,30.0,60.0,16.0,585.0,691.0,10.0,,,,,
C11,L,20.0,65.0,12.0,0.0,956.0,10.0,,,,,
C12,B,50.0,35.0,-19.0,850.0,934.0,10.0,,,,,
C13,L,30.0,25.0,23.0,12.0,133.0,10.0,,,,,
C14,L,15.0,10.0,20.0,0.0,957.0,10.0,,,,,
C15,L,30.0,5.0,8.0,861.0,959.0,10.0,,,,,
C16,B,10.0,20.0,-19.0,527.0,665.0,10.0,,,,,
C17,L,5.0,30.0,2.0,0.0,959.0,10.0,,,,,
C18,L,20.0,40.0,12.0,403.0,513.0,10.0,,,,,
C19,L,15.0,60.0,17.0,0.0,957.0,10.0,,,,,
C20,B,45.0,65.0,-9.0,679.0,769.0,10.0,,,,,
C21,L,45.0,20.0,11.0,67.0,213.0,10.0,,,,,
C22,L,45.0,10.0,18.0,0.0,963.0,10.0,,,,,
C23,L,55.0,5.0,29.0,94.0,274.0,10.0,,,,,
C24,B,65.0,35.0,-3.0,0.0,960.0,10.0,,,,,
C25,L,65.0,20.0,6.0,69.0,183.0,10.0,,,,,
C26,L,45.0,30.0,17.0,0.0,978.0,10.0,,,,,
C27,L,35.0,40.0,16.0,299.0,477.0,10.0,,,,,
C28,B,41.0,37.0,-16.0,0.0,983.0,10.0,,,,,
C29,L,64.0,42.0,9.0,847.0,960.0,10.0,,,,,
C30,L,40.0,60.0,21.0,0.0,964.0,10.0,,,,,
C31,L,31.0,52.0,27.0,0.0,972.0,10.0,,,,,
C32,B,35.0,69.0,-23.0,0.0,956.0,10.0,,,,,
C33,L,53.0,52.0,11.0,249.0,409.0,10.0,,,,,
C34,L,65.0,55.0,14.0,0.0,953.0,10.0,,,,,
C35,L,63.0,65.0,8.0,0.0,948.0,10.0,,,,,
C36,B,2.0,60.0,-5.0,823.0,948.0,10.0,,,,,
C37,L,20.0,20.0,8.0,0.0,968.0,10.0,,,,,
C38,L,5.0,5.0,16.0,0.0,947.0,10.0,,,,,
C39,L,60.0,12.0,31.0,284.0,440.0,10.0,,,,,
C40,B,40.0,25.0,-9.0,0.0,978.0,10.0,,,,,
C41,L,42.0,7.0,5.0,782.0,912.0,10.0,,,,,
C42,L,24.0,12.0,5.0,0.0,964.0,10.0,,,,,
C43,L,23.0,3.0,7.0,0.0,955.0,10.0,,,,,
C44,B,11.0,14.0,-18.0,0.0,958.0,10.0,,,,,
C45,L,6.0,38.0,16.0,779.0,960.0,10.0,,,,,
C46,L,2.0,48.0,1.0,58.0,194.0,10.0,,,,,
C47,L,8.0,56.0,27.0,619.0,763.0,10.0,,,,,
C48,B,13.0,52.0,-36.0,0.0,962.0,10.0,,,,,
C49,L,6.0,68.0,30.0,0.0,946.0,10.0,,,,,
C50,L,47.0,47.0,13.0,507.0,599.0,10.0,,,,,
